run	-1	'Willow is running on port 5999'
add	1	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<h3>In the next scene, there is a newspaper, a boy and a book.</h3>\n\n</body>\n</html>'
put	1	"{'tag': 'PING', 'client': 1}"
took	1	"{'tag': 'PING', 'client': 1}"
let	1	'(body)'
take	1	"{'tag': 'PING', 'client': 1}"
add	1	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<div>\n<img src="pictures/READ-patient-expose.jpg">\n</div>\n\n<h3> Now let\'s see what happens...</h3>\n\n<br></br>\n\n</body>\n</html>'
put	1	"{'tag': 'PING', 'client': 1}"
took	1	"{'tag': 'PING', 'client': 1}"
let	1	'(body)'
add	1	'(body)\n<html>\n<head>\n<link rel="stylesheet" type="text/css" href="exp.css" />\n</head>\n<body>\n\n<div>\n<img src="pictures/READ-patient-action.jpg">\n</div>\n\n<h3> The boy reads the book. </h3>\n<br></br>\n\n</body>\n</html>'
take	1	"{'tag': 'PING', 'client': 1}"
put	1	"{'tag': 'PING', 'client': 1}"
took	1	"{'tag': 'PING', 'client': 1}"
let	1	'(body)'
put	1	"{'tag': 'PING', 'client': 1}"
take	1	"{'tag': 'PING', 'client': 1}"
took	1	"{'tag': 'PING', 'client': 1}"
