1.35351E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime
1.35351E+12,i2c9bbbd60b14,7,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drank,juice,none,5.207
1.35351E+12,d27f05317bb22,7,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,18.184
1.35351E+12,c3cb2614b5a23,7,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,people,thirsty,none,6.77
1.35351E+12,j35743ca18a25,7,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,6.065
1.35351E+12,j6cb16fb1e32,7,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drink,juice,none,6.233
1.35351E+12,a380ac904ba48,7,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,Juice,none,5.655
1.35352E+12,j22e02e1c5a105,7,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,5.733
1.35352E+12,cc59249dfh124,7,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,12.7
1.35351E+12,b112f50a07f62,8,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,juice,this,none,12.62
1.35351E+12,g21000ae7bi75,8,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,group,beverages,none,6.618
1.35351E+12,j3b3d8dbc3j89,8,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,Drinks,none,10.403
1.35352E+12,c99078384i114,8,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.49
1.35353E+12,d3acd9175eg149,8,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,8.668
1.35351E+12,h24777018dg20,9,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,10.627
1.35351E+12,e16b76e266j85,9,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,11.229
1.35351E+12,c2df077c10g91,9,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,7.461
1.35352E+12,i285a0f81ai120,9,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,share,drink,none,8.323
1.35351E+12,f21e3abc0cg8,10,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,gdrink,juice,none,6.936
1.35351E+12,d25f6197e7d7,10,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,pick,drink,none,50.751
1.35351E+12,h39892a2fdc39,10,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,juice,drank,none,8.406
1.35351E+12,c2809c51aca40,10,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,6.359
1.35351E+12,hab993c7db49,10,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,16.747
1.35351E+12,j58cb1481c58,10,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,4.969
1.35351E+12,j29a103792h57,10,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drank,juice,none,7.79
1.35351E+12,a3a1b02ba4h52,10,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,58.907
1.35351E+12,c1de0a4d6ea77,10,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,9.954
1.35351E+12,a873b031di80,10,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,8.43
1.35352E+12,e3844821bca131,10,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,11.405
1.35352E+12,g31c9a40b4b135,10,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,7.705
1.35352E+12,b34f7b2fa3i144,10,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,9.072
1.35351E+12,f3cdba4da3h17,11,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.487
1.35351E+12,f20ebd4d07c26,11,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,5.791
1.35351E+12,d320280bf3e86,11,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.334
1.35352E+12,f20136b2e4g97,11,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,9.222
1.35352E+12,g35b7a02b6c127,11,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,9.195
1.35352E+12,g26125a159f130,11,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,They,drink,none,15.781
1.35352E+12,g2b92625ch132,11,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drinking,juice,none,10.594
